"tax_id","parent_id","rank","tax_name","root","below_root","below_below_root","below_below_below_root","superkingdom","below_superkingdom","below_below_superkingdom","below_below_below_superkingdom","below_below_below_below_superkingdom","below_below_below_below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","below_below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","subspecies","below_subspecies","below_below_subspecies"
"83560","810","species","Chlamydia muridarum","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","83560","","","","",""
"85991","810","species","Chlamydia pecorum","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","85991","","","","",""
"83554","810","species","Chlamydia psittaci","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","83554","","","","",""
"83559","810","species","Chlamydia suis","1","131567","","","2","1783257","","","","","204428","","","","204429","","","","","51291","","","","809","1113537","","","","810","","","","","","83559","","","","",""
"274539","256319","species","Chlorobaculum parvum","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","","","","","256319","","","","","","274539","","","","",""
"337090","1091","species","Chlorobium chlorochromatii","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","274493","","","","1091","","","","","","337090","","","","",""
"1092","1091","species","Chlorobium limicola","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","274493","","","","1091","","","","","","1092","","","","",""
"1096","1091","species","Chlorobium phaeobacteroides","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","274493","","","","1091","","","","","","1096","","","","",""
"1094","1091","species","Chlorobium phaeovibrioides","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","274493","","","","1091","","","","","","1094","","","","",""
"1519464","1091","species","Chlorobium sp. GBChlB","1","131567","","","2","1783270","68336","","","","1090","","","","191410","","","","","191411","","","","191412","274493","","","","1091","","","","","","1519464","","","","",""
"152260","1107","species","Chloroflexus aggregans","1","131567","","","2","1783272","","","","","200795","","","","32061","","","","","32064","","","1508594","1106","","","","","1107","","","","","","152260","","","","",""
"867845","1107","species","Chloroflexus sp. Y-396-1","1","131567","","","2","1783272","","","","","200795","","","","32061","","","","","32064","","","1508594","1106","","","","","1107","","","","","","867845","","","","",""
